,Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Local Authority Description,Phone No.,Principal Name,Email,Eircode,Gaeltacht Indicator (Y/N),DEIS (Y/N),Island (Y/N),Irish Classification Description,Ethos Description,Female,Male,Total,appended_address,latitude,longitude
293,19716B,ST ATTRACTAS SENIOR N S,Meadowbrook,Dundrum,Dublin 16,,Dublin,Dun Laoghaire Rathdown,12951627,Shane Maguire,oifigstattracta@gmail.com,D16HW66,N,N,N,No subjects through Irish,Catholic,177.0,179.0,356,D16HW66,53.281316,-6.2557031
294,19721R,HOLY FAMILY JUNIOR N S,Forest Fields,Swords,Co. Dublin,,Dublin,Fingal County Council,18404394,Declan Power,hfjns3.ias@eircom.net,K67PX92,N,N,N,No subjects through Irish,Catholic,323.0,321.0,644,K67PX92,53.4524004,-6.2419378
295,19723V,QUEEN OF ANGELS PRIMARY SCHOOL,Wedgewood,Sandyford,Dublin 16,,Dublin,Dun Laoghaire Rathdown,12955483,Avila Donegan (Acting Principal),secretary@qoa.ie,D16AX05,N,Y,N,No subjects through Irish,Catholic,141.0,173.0,314,D16AX05,53.2763237,-6.2260491
296,19727G,ST MARYS CENTRAL N S,Belmont Avenue,Donnybrook,Dublin 4,,Dublin,Dublin City Council,12195734,Anne Purcell,office@saintmarys.ie,D04K025,N,N,N,No subjects through Irish,Catholic,320.0,218.0,538,D04K025,53.3210652,-6.2389255
297,19742C,ST COLMCILLE SENIOR N S,Idrone Avenue,Knocklyon,Dublin 16,,Dublin,South Dublin County Council,14942527,Brian Mc Gowan,colmcillessklsec@eircom.net,D16W8K0,N,N,N,No subjects through Irish,Catholic,385.0,411.0,796,D16W8K0,53.2841101,-6.316290599999999
298,19743E,ST BERNADETTES JUNIOR N S,Quarryvale,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,16263188,Donal Ward,stbjns@gmail.com,D22CD39,N,Y,N,No subjects through Irish,Catholic,100.0,109.0,209,D22CD39,53.3496367,-6.397889800000001
299,19755L,SACRED HEART N S,Huntstown,Mulhuddart,Dublin 15,,Dublin,Fingal County Council,18216400,Kieran Lyons,sacredheartns@gmail.com,D15KF65,N,N,N,No subjects through Irish,Catholic,423.0,424.0,847,D15KF65,53.4025589,-6.4100525
300,19762I,ST HELENS SENIOR N S,Limetree Ave,Portmarnock,Co. Dublin,,Dublin,Fingal County Council,18461808,Gwyneth Bhreathnach,admin@helens.ie,D13X326,N,N,N,No subjects through Irish,Catholic,157.0,174.0,331,D13X326,53.4399255,-6.136124199999999
301,19764M,OUR LADY OF WAYSIDE N S,Bluebell Road,Bluebell,Dublin 12,,Dublin,Dublin City Council,14501030,John Murtagh,school@olw.ie,D12KC63,N,Y,N,No subjects through Irish,Catholic,56.0,61.0,117,D12KC63,53.3312985,-6.3378935
302,19765O,ST THOMAS SENIOR N S,Jobstown,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14526555,Eithne O'Shea,info@stthomas.ie,D24YN90,N,Y,N,No subjects through Irish,Catholic,192.0,207.0,399,D24YN90,53.2788759,-6.403235
303,19769W,SCOIL THOMAIS,Laurel Lodge,Castleknock,Dublin 15,,Dublin,Fingal County Council,18201022,Mary McGarry,deputy@scoilthomais.ie,D15VW02,N,N,N,No subjects through Irish,Catholic,333.0,373.0,706,D15VW02,53.3781924,-6.3778063
304,19774P,ST JOSEPHS MXD N S,East Wall Road,Dublin 3,,,Dublin,Dublin City Council,18556284,Niall Heneghan,stjosephscoedeastwall@gmail.com,D03HF24,N,Y,N,No subjects through Irish,Catholic,113.0,109.0,222,D03HF24,,
305,19775R,SCOIL CNOC MHUIRE JUNIOR,Knockmore Avenue,Killinarden,Tallaght,Dublin 24,Dublin,South Dublin County Council,14525266,Dearbhla Byrne,office@knockmorejns.ie,D24C921,N,Y,N,No subjects through Irish,Catholic,82.0,89.0,171,D24C921,53.2761453,-6.393203199999999
306,19777V,GAELSCOIL MIDE,Bóthar an Ghleanntáin Ghlais,Cill Bharróg,Baile Átha Cliath 5,,Dublin,Dublin City Council,18393968,Joe Ó Dónaill,gaelscoilmide@gmail.com,D05YN51,N,N,N,All subjects through Irish,Catholic,112.0,127.0,239,D05YN51,53.3855085,-6.152911
307,19782O,ST BRIGIDS N S,Brookfield,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14514700,Maeve Cloke,secretary@stbrigidsbrookfield.ie,D24X343,N,Y,N,No subjects through Irish,Catholic,104.0,122.0,226,D24X343,53.2871527,-6.4043031
308,19785U,ST BERNADETTES SENIOR N S,Quarryvale,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,16267116,James Ryan,office@bernadettes.ie,D22PW58,N,Y,N,No subjects through Irish,Catholic,97.0,114.0,211,D22PW58,53.3503954,-6.397321300000001
309,19799I,SACRED HEART N S,Sruleen,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,14572988,Liam Kelly,info@sruleenns.com,D22H224,N,N,N,No subjects through Irish,Catholic,233.0,242.0,475,D22H224,53.3145107,-6.4021632
310,19817H,ST MARYS N S,Airlie Heights,Lucan,Co. Dublin,,Dublin,South Dublin County Council,16240203,John Egan,office@scoilmhuire.ie,K78KP94,N,N,N,No subjects through Irish,Catholic,244.0,237.0,481,K78KP94,53.3509807,-6.4672047
311,19831B,SCOIL CHAOIMHIN,Sráid Mhaoilbhríde,Baile Átha Cliath 1,,,Dublin,Dublin City Council,18788594,Ciaran Ó Fearraigh,scoilchaoimhin@gmail.com,D01YT29,N,Y,N,All subjects through Irish,Catholic,31.0,29.0,60,D01YT29,53.35129569999999,-6.2576946
312,19834H,ST AIDANS NS,Brookfield,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14596016,Tomas Hayes,principal@staidanssns.ie,D24XN24,N,Y,N,No subjects through Irish,Catholic,149.0,143.0,292,D24XN24,53.28639039999999,-6.4046425
313,19837N,DRIMNAGH CASTLE CBS N S,Drimnagh Castle,Long Mile Road,Dublin 12,,Dublin,Dublin City Council,14552066,Eugene Duffy,drimnaghcastle.ias@gmail.com,D12C893,N,N,N,No subjects through Irish,Catholic,,371.0,371,D12C893,53.3243593,-6.330921099999999
314,19840C,HOLY FAMILY SCHOOL,Dunedin Park,Monkstown Farm,Glenageary,Co. Dublin,Dublin,Dun Laoghaire Rathdown,12809242,Margaret Martyn,holyfamilydunedin@gmail.com,A96TW60,N,Y,N,No subjects through Irish,Catholic,74.0,83.0,157,A96TW60,53.2863276,-6.1537674
315,19845M,NORTH DUBLIN NS PROJECT,BALLYMUN ROAD,DUBLIN 9,,,Dublin,Dublin City Council,18371620,RUTH DONALD,ruthdonald@ndnsp.ie,D09PE80,N,N,N,No subjects through Irish,Multi Denominational,102.0,124.0,226,D09PE80,53.3819302,-6.2682924
316,19850F,LADYSWELL N S,Dromheath Gardens,Mulhuddart,Dublin 15,,Dublin,Fingal County Council,18204255,Niall Murray,ladyswellns@gmail.com,D15DD40,N,Y,N,No subjects through Irish,Catholic,238.0,259.0,497,D15DD40,53.40598079999999,-6.3920372
317,19855P,GAELSCOIL CHLUAIN DOLCAIN,Seanbhóthar Nangair,Cluain Dolcáin,Baile Átha Cliath 22,,Dublin,South Dublin County Council,14574970,Seán Mac Cárthaigh,oifig@gscd.ie,D22PE04,N,N,N,All subjects through Irish,Catholic,245.0,196.0,441,D22PE04,53.3233459,-6.402203
318,19865S,DIVINE MERCY JUNIOR NATIONAL SCHOOL,Lynch's Lane,Lucan,Co. Dublin,,Dublin,South Dublin County Council,14573095,Marie Mullins,dmbalgaddyjns@gmail.com,K78FW98,N,N,N,No subjects through Irish,Catholic,130.0,182.0,312,K78FW98,53.3405678,-6.4157761
319,19872P,SCOIL CHAITLIN MAUDE,Garrán an Choill,Tamhlacht,Baile Átha Cliath 24,,Dublin,South Dublin County Council,14596141,Bairbre Ní Ghoill,oifig@scoilcm.ie,D24C921,N,Y,N,All subjects through Irish,Catholic,188.0,156.0,344,D24C921,53.2761453,-6.393203199999999
320,19877C,HOLY FAMILY SENIOR N S,Forest Fields,River Valley,Swords,Co. Dublin,Dublin,Fingal County Council,18406334,Geraldine Gowen,secretary@holyfamilysns.ie,K67V9V2,N,N,N,No subjects through Irish,Catholic,356.0,370.0,726,K67V9V2,53.4518192,-6.241495
321,19878E,Holy Rosary Primary School,Old Court Avenue,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14521369,Dolores Kelly,holyrosaryps1@gmail.com,D24H022,N,Y,N,No subjects through Irish,Catholic,296.0,297.0,593,D24H022,53.2728911,-6.3486729
322,19888H,ST ANNES MXD N S,Stonebridge Road,Shankill,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12825565,John Fingleton,stannesnsshankill@gmail.com,D18AV61,N,N,N,No subjects through Irish,Catholic,250.0,240.0,490,D18AV61,53.234272,-6.128987400000001
323,19893A,ST KILIANS SENIOR N S,Kingswood Heights,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14510100,Barry Frisby,stkilians@gmail.com,D24F797,N,N,N,No subjects through Irish,Catholic,120.0,140.0,260,D24F797,53.3062897,-6.3703534
324,19896G,SCOIL CAITRIONA NA MBRAITHRE,59 Lower Baggot Street,Dublin 2,,,Dublin,Dublin City Council,16766132,Siobhán Weekes,info@scoilchaitrionabaggotstreet.ie,D02H365,N,Y,N,No subjects through Irish,Catholic,85.0,77.0,162,D02H365,53.3362025,-6.2458237
325,19898K,GAELSCOIL AN DUINNINIGH,Draighneán,Bóthar Fhaol Droma,Sord,Co. Átha Cliath,Dublin,Fingal County Council,18409640,Nóirín Ní Laighin,oifig@scoiland.ie,K67V207,N,N,N,All subjects through Irish,Catholic,239.0,211.0,450,K67V207,53.44661199999999,-6.200443
326,19901T,BOOTERSTOWN N S,CROSS AVE,BLACKROCK,CO DUBLIN,,Dublin,Dun Laoghaire Rathdown,12885514,RACHEL FRASER,office@booterstownnationalschool.ie,A94E524,N,N,N,No subjects through Irish,Church Of Ireland,49.0,40.0,89,A94E524,53.3005433,-6.1910044
327,19904C,HOLY CROSS N S,Kilmacud Road Upper,Dundrum,Dublin 14,,Dublin,Dun Laoghaire Rathdown,12985493,Ultan Mac Mathuna,admin@holycrossschool.ie,D14AD66,N,N,N,No subjects through Irish,Catholic,144.0,157.0,301,D14AD66,53.28863819999999,-6.241317
328,19907I,GAELSCOIL MOLOGA,"Bóthar Thigh Chláir,",Cros Araild,BAILE ATHA CLIATH 6W,,Dublin,Dublin City Council,14923888,DAIRE MAC PHAIDIN,runaiscoilmologa@gmail.com,D6WEA22,N,N,N,All subjects through Irish,Catholic,120.0,108.0,228,D6WEA22,53.3173504,-6.285357299999999
329,19913D,ST JOSEPHS NS,Macroom Road,Bonnybrook,Dublin 17,,Dublin,Dublin City Council,18475616,Rosemarie Gaffney,secretarystjosephsns@gmail.com,D17DY60,N,Y,N,No subjects through Irish,Catholic,156.0,191.0,347,D17DY60,53.3981164,-6.2032168
330,19919P,ST DAVIDS N S,Kilmore Road,Artane,Dublin 5,,Dublin,Dublin City Council,18487979,Dwain Moore,stdavidsbns@gmail.com,D05E510,N,N,N,No subjects through Irish,Catholic,,285.0,285,D05E510,53.3858123,-6.217245999999999
331,19920A,ST JOHN OF GOD N S,Kilmore Road,Artane,Dublin 5,,Dublin,Dublin City Council,18477193,Aoife McNicholas,info@stjohnofgodartane.com,D05E265,N,Y,N,No subjects through Irish,Catholic,168.0,,168,D05E265,53.3896502,-6.2173226
332,19922E,OUR LADYS N S,St Columbanus,Milltown,Dublin 14,,Dublin,Dun Laoghaire Rathdown,12981989,Edel Collins,olnsclonskeagh@gmail.com,D14N8H4,N,Y,N,No subjects through Irish,Catholic,110.0,144.0,254,D14N8H4,53.3016233,-6.249930699999999
333,19924I,HAROLDS CROSS N S,Clareville Road,Harold's Cross,Dublin 6W,,Dublin,Dublin City Council,14922321,Bernadette Kehoe,office@haroldscrossns.ie,D6WFR66,N,Y,N,No subjects through Irish,Catholic,161.0,220.0,381,D6WFR66,53.3173638,-6.2857534
334,19926M,GAELSCOIL CHOLAISTE MHUIRE,4 Cearnóg Parnell,Baile Átha Cliath,,,Dublin,Dublin City Council,18729131,Pól Hansard,GCMBAC1@GMAIL.COM,D01WC99,N,N,N,All subjects through Irish,Catholic,100.0,95.0,195,D01WC99,53.3535881,-6.2620967
335,19928Q,RANELAGH MULTI DENOM NS,Ranelagh Road,Ranelagh,Dublin 6,,Dublin,Dublin City Council,14961722,Rosemarie Stynes,principal@rmds.ie,D06Y658,N,N,N,No subjects through Irish,Multi Denominational,112.0,120.0,232,D06Y658,53.3267982,-6.2576866
336,19929S,ST BRIGIDS SENIOR GIRLS,Wellmount Avenue,Finglas West,Dublin 11,,Dublin,Dublin City Council,18342416,Siobhan Loughman,info@stbrigidssgns.ie,D11X262,N,Y,N,No subjects through Irish,Catholic,222.0,8.0,230,D11X262,53.3862754,-6.310211199999999
337,19933J,SCOIL TREASA NAOFA,Petrie Road,Donore Avenue,Dublin 8,,Dublin,Dublin City Council,14541899,Ann Marie Spillane,principal@scoiltreasanaofa.ie,D08XP02,N,Y,N,No subjects through Irish,Catholic,74.0,118.0,192,D08XP02,53.3344596,-6.2793638
338,19935N,SCOIL EOIN,Greendale Road,Dublin 5,,,Dublin,Dublin City Council,18323281,Cathy Burke,principalscoileoin@gmail.com,D05K5P2,N,Y,N,No subjects through Irish,Catholic,58.0,81.0,139,D05K5P2,53.3870066,-6.157072299999999
339,19938T,ST JOSEPHS,Tivoli Road,Dun Laoghaire,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12803504,Padraic Fay,principal@dunlaoghairens.ie,A96VF34,N,Y,N,No subjects through Irish,Catholic,145.0,171.0,316,A96VF34,53.2866843,-6.1400087
340,19939V,SCOIL NAISIUNTA AN DEA AOIRE,Whitehall Road,Churchtown,Dublin 14,,Dublin,Dun Laoghaire Rathdown,12989475,Órlaith Veale,school@goodshepherd.ie,D14Y448,N,Y,N,No subjects through Irish,Catholic,93.0,117.0,210,D14Y448,53.293642,-6.2694793
341,19940G,GAELSCOIL NAOMH PADRAIG,Bóthar an Chaisleán,Leamhcán,Co. Átha Cliath,,Dublin,South Dublin County Council,16241355,Liam Breathnach,oifig.gsnp@gmail.com,K78RK40,N,N,N,All subjects through Irish,Catholic,215.0,239.0,454,K78RK40,53.35062689999999,-6.435483199999999
342,19943M,ST DAMIENS NS,Quarry Drive,Perrystown,Dublin 12,,Dublin,South Dublin County Council,14508932,Aodh OConnor,stdamiansoffice@gmail.com,D12FWV6,N,N,N,No subjects through Irish,Catholic,97.0,132.0,229,D12FWV6,53.3142345,-6.3212875
343,19945Q,RATHFARNHAM EDUCATE TOGETHER,Loreto Avenue,Rathfarnham,Dublin 14,,Dublin,Dun Laoghaire Rathdown,14938677,Maeve McCarthy,info@retns.ie,D14V5W4,N,N,N,No subjects through Irish,Multi Denominational,111.0,105.0,216,D14V5W4,53.2917566,-6.2750885
344,19946S,RUTLAND NATIONAL SCHOOL,Lower Gloucester Place,Dublin 1,,,Dublin,Dublin City Council,18747331,Niamh Murray,rutlandns@gmail.com,D01AE73,N,Y,N,No subjects through Irish,Catholic,81.0,81.0,162,D01AE73,53.35337089999999,-6.255102399999999
345,19949B,ISLAMIC NATIONAL SCHOOL,19 Roebuck Road,Clonskeagh,Dublin 14,,Dublin,Dun Laoghaire Rathdown,12961340,Maureen Larkin,mns0003@hotmail.com,D14V386,N,N,N,No subjects through Irish,Muslim,154.0,151.0,305,D14V386,53.3039596,-6.2342314
346,19954R,NORTH BAY EDUCATE TOGETHER NS,GREENDALE AVENUE,KILBARRACK,DUBLIN 5,,Dublin,Dublin City Council,18325536,SallyMcGinley,principal@northbay.ie,D05K744,N,N,N,No subjects through Irish,Multi Denominational,102.0,110.0,212,D05K744,53.3853245,-6.1525751
347,19960M,ST JOHNS N S,Church Road,Ballybrack,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12855525,Catherine Coady,office@stjohnsns.ie,A96NW60,N,Y,N,No subjects through Irish,Catholic,70.0,117.0,187,A96NW60,53.2560838,-6.128273699999999
348,19979K,ST KEVINS N S,Pearse Street,Sallynoggin,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12854309,Dr. Barry O'Leary,stkevinsns@eircom.net,A96W862,N,Y,N,No subjects through Irish,Catholic,90.0,110.0,200,A96W862,53.2764912,-6.1383221
349,19981U,ST MARYS N S,Windsor Avenue,Fairview,Dublin 3,,Dublin,Dublin City Council,18377551,Eibhlín McGarry,secretary@stmarysfairview.ie,D03AH64,N,Y,N,No subjects through Irish,Catholic,163.0,59.0,222,D03AH64,53.36417369999999,-6.2382837
350,19991A,GAELSCOIL NA CAMOIGE,Bóthar an Úlloird,Cluain Dolcáin,Baile Átha Cliath 22,,Dublin,South Dublin County Council,14576878,Aoife Ni Raghallaigh ( Acting),gncamoige@gmail.com,D22X048,N,N,N,All subjects through Irish,Catholic,123.0,121.0,244,D22X048,53.3236498,-6.3929228
351,20012S,GRIFFITH BARRACKS MULTI D SCHOOL,The Old Guardhouse,South Circular Road,Dublin 8,,Dublin,Dublin City Council,14547278,Eddie Fox,office@griffithbarracks.ie,D08KVY4,N,N,N,No subjects through Irish,Multi Denominational,144.0,165.0,309,D08KVY4,53.33080769999999,-6.2795513
352,20015B,GAELSCOIL BHAILE MUNNA,Bóthar Choltraí,Baile Munna,Baile Átha Cliath 9,,Dublin,Dublin City Council,18622275,Ray Dempsey,eolas@gaelscoilbhailemunna.ie,D09TY74,N,Y,N,All subjects through Irish,Catholic,96.0,80.0,176,D09TY74,53.3982982,-6.256057999999999
353,20020R,GAELSCOIL THAOBH NA COILLE,Beallairmín,An Chéim,Baile Átha Cliath 18,,Dublin,Dun Laoghaire Rathdown,12950000,Emer Nic Chonchradha,gaelscoil@taobhnacoille.ie,D18TK40,N,N,N,All subjects through Irish,Catholic,222.0,236.0,458,D18TK40,53.2595561,-6.215348499999999
354,20029M,ST BRIGIDS INFANT N S,Wellmount Avenue,Finglas West,Dublin 11,,Dublin,Dublin City Council,18348770,Margaret O'Reilly,stbrigidsinfantschool@eircom.net,D11F992,N,Y,N,No subjects through Irish,Catholic,120.0,112.0,232,D11F992,53.3861926,-6.308412
355,20035H,ST GABRIELS N S,COWPER STREET,DUBLIN 7,,,Dublin,Dublin City Council,18384853,Suzanne Comerford,principal@stgabrielsns.ie,D07CX50,N,Y,N,No subjects through Irish,Catholic,46.0,82.0,128,D07CX50,53.35385429999999,-6.290669599999999
356,20043G,GAELSCOIL CHNOC LIAMHNA,SEAN BHÓTHAR CHNOC LIAMHNA,BOTHAR CNOC LIAMHNA,BAILE ÁTHA CLIATH 16,,Dublin,South Dublin County Council,14939262,MAIRE NI GHALLACHOIR,runai@gaelscoilcl.com,D16HR26,N,N,N,All subjects through Irish,Catholic,118.0,104.0,222,D16HR26,53.2845038,-6.3267558
357,20047O,GAELSCOIL BHARRA,Naomh Fionbarra CLG,Ascal an Fhasaigh,Cabrach,Baile Átha Cliath 7,Dublin,Dublin City Council,18684827,Seán Ó Donaile,oifig@gaelscoilbharra.net,D07CF72,N,Y,N,All subjects through Irish,Catholic,107.0,103.0,210,D07CF72,53.36488139999999,-6.2891756
358,20048Q,GAELSCOIL LIOS NA NOG,Teach Feadha Chuileann,Bóthar Oakley,Raghnallach,Baile Átha Cliath 6,Dublin,Dublin City Council,14975300,Áine Nic an tSíthigh,eolas@gsliosnanog.ie,D06WF43,N,N,N,All subjects through Irish,Catholic,104.0,124.0,228,D06WF43,53.3221546,-6.2567926
359,20052H,GAELSCOIL CHOLMCILLE,Lána na Cúlóige,Baile Átha Cliath 17,,,Dublin,Dublin City Council,18940440,Neasa Ní Aoláin,eolas@gaelscoilcholmcille.ie,D17W021,N,N,N,All subjects through Irish,Catholic,153.0,121.0,274,D17W021,53.3960102,-6.2305956
360,20056P,GAELSCOIL PHADRAIG,Ascaill Shíleann,Baile Breac,Co. Átha Cliath,,Dublin,Dun Laoghaire Rathdown,12827345,Roise Uí Labhraidh,gaelscoilphadraig@gmail.com,A96KF64,N,N,N,All subjects through Irish,Catholic,72.0,78.0,150,A96KF64,53.2483738,-6.1245869
361,20059V,MOTHER OF DIVINE GRACE,Ferndale Avenue,Ballygall,Dublin 11,,Dublin,Dublin City Council,18344000,Eleanor Fahy,school@mdgballygall.com,D11VW68,N,Y,N,No subjects through Irish,Catholic,245.0,246.0,491,D11VW68,53.3863281,-6.2874542
362,20060G,MONKSTOWN EDUCATE TOGETHER NS,Kill Avenue,Dun Laoghaire,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12303696,Ann Marie Kenrick,office@metns.ie,A96R528,N,N,N,No subjects through Irish,Multi Denominational,249.0,210.0,459,A96R528,53.2806513,-6.1503437
363,20064O,OUR LADY OF CONSOLATION NS,Collins Avenue East,Donnycarney,Dublin 5,,Dublin,Dublin City Council,18310721,Aoife Ní Bhreacháin,office@olocschool.ie,D05RW80,N,Y,N,No subjects through Irish,Catholic,201.0,86.0,287,D05RW80,53.3743785,-6.21686
364,20066S,LUCAN EDUCATE TOGETHER NS,Mount Bellew Way,Willsbrook,Lucan,Co. Dublin,Dublin,South Dublin County Council,16281298,Mary Tuohy,info@letns.org,K78C922,N,N,N,No subjects through Irish,Multi Denominational,202.0,237.0,439,K78C922,53.3512046,-6.425441699999999
365,20091R,ST PETERS NS,Saint Peter's Road,Phibsborough,Dublin 7,,Dublin,Dublin City Council,18680501,Raymond Ryan,office@stpetersns.net,D07F75C,N,Y,N,No subjects through Irish,Catholic,220.0,249.0,469,D07F75C,53.3617557,-6.2765543
366,20092T,ST ULTANS NS,Cherry Orchard Avenue,Ballyfermot,Dublin 10,,Dublin,Dublin City Council,16434599,Gary Jones,office@stultans.ie,D10NY53,N,Y,N,No subjects through Irish,Catholic,202.0,200.0,402,D10NY53,53.3367966,-6.3738702
367,20095C,GAELSCOIL BHRIAN BÓROIMHE,Coill na nÚll,Sord,Co. Átha Cliath,,Dublin,Fingal County Council,18902799,Séamus Seaghach,oifig@gsbb.ie,K67T3H2,N,N,N,All subjects through Irish,Inter Denominational,224.0,264.0,488,K67T3H2,53.4718278,-6.2462291
368,20098I,CASTLEKNOCK EDUCATE TOGETHER NS,Beechpark Avenue,Castleknock,Dublin 15,,Dublin,Fingal County Council,18219331,Aedín Ní Thuathail,secretary@cetns.ie,D15X094,N,N,N,No subjects through Irish,Multi Denominational,189.0,243.0,432,D15X094,53.3799514,-6.362818700000001
369,20103V,JOHN SCOTTUS NS,47/49 Northumberland Road,Ballsbridge,Dublin 4,,Dublin,Dublin City Council,16609309,Cónall Clancy,primary@johnscottus.ie,D04R128,N,N,N,No subjects through Irish,Multi Denominational,95.0,95.0,190,D04R128,53.3344211,-6.2373189
370,20104A,ST AUDOENS NS,Cook Street,Merchant's Quay,Dublin 8,,Dublin,Dublin City Council,16779856,Eilish Meagher,info@staudoens.ie,D08XP83,N,Y,N,No subjects through Irish,Catholic,80.0,105.0,185,D08XP83,53.3443321,-6.2743708
371,20130B,ST PATRICKS NS,St. Patrick's National School,Diswellstown Lawn,Castleknock,Dublin 15,Dublin,Fingal County Council,18249930,Mary Power,info@stpatricksns.ie,D15PH21,N,N,N,No subjects through Irish,Catholic,384.0,420.0,804,D15PH21,53.3690754,-6.3879832
372,20131D,EDUCATE TOGETHER NS,Fitzwilliam Place North,Grangegorman Lower,Dublin 7,,Dublin,Dublin City Council,18943111,Fionnuala McHugh,Secretary@d7educatetogether.com,D07PY50,N,N,N,No subjects through Irish,Multi Denominational,216.0,254.0,470,D07PY50,53.35203019999999,-6.278279299999999
373,20137P,MARY MOTHER OF HOPE SENIOR NS,Littlepace,Castaheany,Dublin 15,,Dublin,Fingal County Council,18128693,Enda McGorman,hopens@eircom.net,D15TA49,N,N,N,No subjects through Irish,Catholic,192.0,254.0,446,D15TA49,53.4047632,-6.4238884
374,20139T,INCHICORE NS,Sarsfield Road,Inchicore,Dublin 10,,Dublin,Dublin City Council,14536505,Breda McEvoy,inchicorens@gmail.com,D10V963,N,Y,N,No subjects through Irish,Catholic,106.0,102.0,208,D10V963,53.3413932,-6.3200962
375,20141G,THE HAROLD SCHOOL,Eden Road,Glasthule,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12805708,Dervla Nic Mhathúna,admin@haroldschool.ie,A96X043,N,N,N,No subjects through Irish,Catholic,351.0,326.0,677,A96X043,53.28606389999999,-6.125620899999999
376,20145O,SWORDS EDUCATE TOGETHER NS,Applewood,Swords,Co. Dublin,,Dublin,Fingal County Council,18903899,Karl Breen,info@swordseducatetogether.ie,K67H0F6,N,N,N,No subjects through Irish,Multi Denominational,188.0,254.0,442,K67H0F6,53.47134939999999,-6.247063799999999
377,20152L,NORTH DUBLIN MUSLIM NS PROJECT,Ratoath Road,Cabra,Dublin 7,,Dublin,Dublin City Council,18689587,Eoin Walsh,info@ndmns.com,D07P967,N,N,N,No subjects through Irish,Muslim,158.0,158.0,316,D07P967,53.3634993,-6.2996924
378,20161M,DONABATE/PORTRANE EDUCATE TOGETHER,Ballisk Common,Beaverstown Road,Donabate,Co. Dublin,Dublin,Fingal County Council,18434573,Maeve Corish,info@dpetns.ie,K36HX03,N,N,N,No subjects through Irish,Multi Denominational,192.0,262.0,454,K36HX03,53.491709,-6.145700499999999
379,20166W,GRIFFEEN VALLEY EDUCATE TOGETHER NS,Griffeen Glen Boulevard,Lucan,Co. Dublin,,Dublin,South Dublin County Council,16219819,Andrea Burke Khan,info@gvet.ie,K78YA07,N,N,N,No subjects through Irish,Multi Denominational,265.0,269.0,534,K78YA07,53.34133629999999,-6.4337768
380,20168D,GLASNEVIN EDUCATE TOGETHER NS,Griffith Avenue,Glasmevim,Dublin 11,,Dublin,Dublin City Council,18572086,Roisin Conlon,scoilgetns@gmail.com,D11A2YT,N,N,N,No subjects through Irish,Multi Denominational,156.0,185.0,341,D11A2YT,53.37875529999999,-6.269234
381,20173T,ST ANNES PRIMARY SCHOOL,Kilcarrig Avenue,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14515850,Mary Cullen,stannesps@gmail.com,D24DHY5,N,Y,N,No subjects through Irish,Catholic,187.0,190.0,377,D24DHY5,53.2906556,-6.391997399999999
382,20176C,RUSH AND LUSK EDUCATE TOGETHER NS,Raheny Lane,Rathmore Road,Lusk,Co. Dublin,Dublin,Fingal County Council,18430525,Noel Reilly,office@ralet.ie,K45WC62,N,N,N,No subjects through Irish,Multi Denominational,210.0,243.0,453,K45WC62,53.5289349,-6.1569141
383,20186F,CASTAHEANY EDUCATE TOGETHER NS,Ongar Village,Dublin 15,,,Dublin,Fingal County Council,16467484,Sheila Gaughan,castaheanyeducatetogether@gmail.com,D15AE61,N,Y,N,No subjects through Irish,Multi Denominational,204.0,201.0,405,D15AE61,53.3933865,-6.4426779
384,20187H,DIVINE MERCY SENIOR NATIONAL SCHOOL,Balgaddy,Lucan,Co. Dublin,,Dublin,South Dublin County Council,14670689,Regina Halpin,dmbalgaddysns@gmail.com,K78A393,N,N,N,No subjects through Irish,Catholic,248.0,256.0,504,K78A393,53.339867,-6.4167652
385,20190T,HOLY TRINITY NATIONAL SCHOOL,Glencairn,Leopardstown,Dublin 18,,Dublin,Dun Laoghaire Rathdown,12063664,James Tobin,office@holytrinity.ie,D18YV91,N,N,N,No subjects through Irish,Catholic,250.0,328.0,578,D18YV91,53.2618173,-6.1964289
386,20194E,St. John the Evangelist National School,Station Road,Adamstown Castle,Co. Dublin,,Dublin,South Dublin County Council,16540358,Anthony McGinley,office@stjohntheevangelistns.com,K78P212,N,N,N,No subjects through Irish,Catholic,207.0,189.0,396,K78P212,53.3363033,-6.4608685
